season,team,games,wins,losses,ties,points_for,points_against,point_differential,points_per_game,points_allowed_per_game,point_differential_per_game,win_percentage
2025,MIA,17,7,10,0,347,424,-77,20.41,24.94,-4.53,0.412
2025,MIN,17,9,8,0,344,333,11,20.24,19.59,0.65,0.529
2025,NE,21,17,4,0,557,375,182,26.52,17.86,8.67,0.81
2025,NO,17,6,11,0,306,383,-77,18.0,22.53,-4.53,0.353
2025,NYG,17,4,13,0,381,439,-58,22.41,25.82,-3.41,0.235
2025,NYJ,17,3,14,0,300,503,-203,17.65,29.59,-11.94,0.176
2025,PHI,18,11,7,0,398,348,50,22.11,19.33,2.78,0.611
2025,PIT,18,10,8,0,403,417,-14,22.39,23.17,-0.78,0.556
2025,SEA,20,17,3,0,584,338,246,29.2,16.9,12.3,0.85
2025,SF,19,13,6,0,466,431,35,24.53,22.68,1.84,0.684
2025,TB,17,8,9,0,380,411,-31,22.35,24.18,-1.82,0.471
2025,TEN,17,3,14,0,284,478,-194,16.71,28.12,-11.41,0.176
2025,WAS,17,5,12,0,356,451,-95,20.94,26.53,-5.59,0.294
