season,season_type,head_coach,team,games,wins,losses,ties,points_for,points_against,point_differential,points_per_game,points_allowed_per_game,point_differential_per_game,win_percentage
2022,POST,Kevin O'Connell,MIN,1,0,1,0,24,31,-7,24.0,31.0,-7.0,0.0
2022,POST,Kyle Shanahan,SF,3,2,1,0,67,66,1,22.33,22.0,0.33,0.667
2022,POST,Mike McCarthy,DAL,2,1,1,0,43,33,10,21.5,16.5,5.0,0.5
2022,POST,Mike McDaniel,MIA,1,0,1,0,31,34,-3,31.0,34.0,-3.0,0.0
2022,POST,Nick Sirianni,PHI,3,2,1,0,104,52,52,34.67,17.33,17.33,0.667
2022,POST,Pete Carroll,SEA,1,0,1,0,23,41,-18,23.0,41.0,-18.0,0.0
2022,POST,Sean McDermott,BUF,2,1,1,0,44,58,-14,22.0,29.0,-7.0,0.5
2022,POST,Todd Bowles,TB,1,0,1,0,14,31,-17,14.0,31.0,-17.0,0.0
2022,POST,Zac Taylor,CIN,3,2,1,0,71,50,21,23.67,16.67,7.0,0.667
2022,REG,Andy Reid,KC,17,14,3,0,496,369,127,29.18,21.71,7.47,0.824
2022,REG,Arthur Smith,ATL,17,7,10,0,365,386,-21,21.47,22.71,-1.24,0.412
2022,REG,Bill Belichick,NE,17,8,9,0,364,347,17,21.41,20.41,1.0,0.471
2022,REG,Brandon Staley,LAC,17,10,7,0,391,384,7,23.0,22.59,0.41,0.588
2022,REG,Brian Daboll,NYG,17,9,7,1,365,371,-6,21.47,21.82,-0.35,0.559
2022,REG,Dan Campbell,DET,17,9,8,0,453,427,26,26.65,25.12,1.53,0.529
2022,REG,Dennis Allen,NO,17,7,10,0,330,345,-15,19.41,20.29,-0.88,0.412
2022,REG,Doug Pederson,JAX,17,9,8,0,404,350,54,23.76,20.59,3.18,0.529
2022,REG,Frank Reich,IND,9,3,5,1,132,183,-51,14.67,20.33,-5.67,0.389
2022,REG,Jay Rosburg,DEN,2,1,1,0,55,55,0,27.5,27.5,0.0,0.5
2022,REG,Jeff Saturday,IND,8,1,7,0,157,244,-87,19.62,30.5,-10.88,0.125
2022,REG,John Harbaugh,BAL,17,10,7,0,350,315,35,20.59,18.53,2.06,0.588
2022,REG,Josh McDaniels,LV,17,6,11,0,395,418,-23,23.24,24.59,-1.35,0.353
2022,REG,Kevin O'Connell,MIN,17,13,4,0,424,427,-3,24.94,25.12,-0.18,0.765
2022,REG,Kevin Stefanski,CLE,17,7,10,0,361,381,-20,21.24,22.41,-1.18,0.412
2022,REG,Kliff Kingsbury,ARI,17,4,13,0,340,449,-109,20.0,26.41,-6.41,0.235
2022,REG,Kyle Shanahan,SF,17,13,4,0,450,277,173,26.47,16.29,10.18,0.765
2022,REG,Lovie Smith,HOU,17,3,13,1,289,420,-131,17.0,24.71,-7.71,0.206
2022,REG,Matt Eberflus,CHI,17,3,14,0,326,463,-137,19.18,27.24,-8.06,0.176
2022,REG,Matt LaFleur,GB,17,8,9,0,370,371,-1,21.76,21.82,-0.06,0.471
2022,REG,Matt Rhule,CAR,5,1,4,0,93,122,-29,18.6,24.4,-5.8,0.2
2022,REG,Mike McCarthy,DAL,17,12,5,0,467,342,125,27.47,20.12,7.35,0.706
2022,REG,Mike McDaniel,MIA,17,9,8,0,397,399,-2,23.35,23.47,-0.12,0.529
2022,REG,Mike Tomlin,PIT,17,9,8,0,308,346,-38,18.12,20.35,-2.24,0.529
2022,REG,Mike Vrabel,TEN,17,7,10,0,298,359,-61,17.53,21.12,-3.59,0.412
2022,REG,Nathaniel Hackett,DEN,15,4,11,0,232,304,-72,15.47,20.27,-4.8,0.267
2022,REG,Nick Sirianni,PHI,17,14,3,0,477,344,133,28.06,20.24,7.82,0.824
2022,REG,Pete Carroll,SEA,17,9,8,0,407,401,6,23.94,23.59,0.35,0.529
2022,REG,Robert Saleh,NYJ,17,7,10,0,296,316,-20,17.41,18.59,-1.18,0.412
2022,REG,Ron Rivera,WAS,17,8,8,1,321,343,-22,18.88,20.18,-1.29,0.5
2022,REG,Sean McDermott,BUF,16,13,3,0,455,286,169,28.44,17.88,10.56,0.812
2022,REG,Sean McVay,LA,17,5,12,0,307,384,-77,18.06,22.59,-4.53,0.294
2022,REG,Steve Wilks,CAR,12,6,6,0,254,252,2,21.17,21.0,0.17,0.5
2022,REG,Todd Bowles,TB,17,8,9,0,313,358,-45,18.41,21.06,-2.65,0.471
2022,REG,Zac Taylor,CIN,16,12,4,0,418,322,96,26.12,20.12,6.0,0.75
2023,POST,Andy Reid,KC,4,4,0,0,95,63,32,23.75,15.75,8.0,1.0
2023,POST,Dan Campbell,DET,3,2,1,0,86,80,6,28.67,26.67,2.0,0.667
